id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
561,Endo et al 2010,Myoprocta pratti,Mammals,Omn,Tropical forest,30,0.08,0.97,3,3,2.2,0.53,1.454,0.557,1.423,0.513
562,Endo et al 2010,Myoprocta pratti,Mammals,Omn,Tropical forest,2.7,0.08,0.97,3,3,0.5,0.53,0.525,0.557,-0.058,0.735
563,Endo et al 2010,Pecari tajacu,Mammals,Herb,Tropical forest,2.7,0.08,21.27,3,3,3.78,5.17,1.981,2.259,-0.313,0.155
564,Endo et al 2010,Pecari tajacu,Mammals,Herb,Tropical forest,30,0.08,21.27,3,3,8.2,5.17,3.018,2.259,0.461,0.109
565,Endo et al 2010,Pecari tajacu,Mammals,Herb,Tropical forest,2.7,0.08,21.27,3,3,7.8,5.17,3.019,2.259,0.411,0.114
566,Endo et al 2010,Saguinus fuscicollis,Mammals,Omn,Tropical forest,2.7,0.08,0.39,3,3,5.3,53.3,0.318,3.198,-2.306,0.002
567,Endo et al 2010,Saguinus fuscicollis,Mammals,Omn,Tropical forest,30,0.08,0.39,3,3,37.8,53.3,2.268,3.198,-0.343,0.002
568,Endo et al 2010,Saguinus fuscicollis,Mammals,Omn,Tropical forest,2.7,0.08,0.39,3,3,37,53.3,2.22,3.198,-0.365,0.002
569,Endo et al 2010,Saimiri boliviensis,Mammals,Omn,Tropical forest,2.7,0.08,0.62,3,3,4,29.3,0.74,5.421,-1.989,0.023
570,Endo et al 2010,Saimiri boliviensis,Mammals,Omn,Tropical forest,30,0.08,0.62,3,3,10.8,29.3,1.998,5.421,-0.997,0.023
571,Endo et al 2010,Sapajus apella,Mammals,Omn,Tropical forest,2.7,0.08,2.5,3,3,6,30.1,0.354,1.776,-1.611,0.002
572,Endo et al 2010,Sapajus apella,Mammals,Omn,Tropical forest,30,0.08,2.5,3,3,15.5,30.1,0.915,1.776,-0.663,0.002
573,Endo et al 2010,Sapajus apella,Mammals,Omn,Tropical forest,2.7,0.08,2.5,3,3,11.2,30.1,0.661,1.776,-0.988,0.002
574,Endo et al 2010,Sciurus spadiceus and S.sanborni.,Mammals,Frug,Tropical forest,2.7,0.08,0.27,3,3,15,16.4,4.635,4.789,-0.089,0.06
575,Endo et al 2010,Sciurus spadiceus and S.sanborni.,Mammals,Frug,Tropical forest,30,0.08,0.27,3,3,39.7,16.4,11.592,4.789,0.884,0.057
576,Endo et al 2010,Sciurus spadiceus and S.sanborni.,Mammals,Frug,Tropical forest,2.7,0.08,0.27,3,3,2.49,16.4,1.477,4.789,-1.883,0.146
577,Endo et al 2010,Tapirus terrestris,Mammals,Herb,Tropical forest,2.7,0.08,207.5,3,3,0.08,0.04,0.283,0.2,0.693,12.499
578,Endo et al 2010,Tayassu pecari,Mammals,Frug,Tropical forest,2.7,0.08,32.23,3,3,5.8,21.7,2.593,6.532,-1.318,0.097
579,Endo et al 2010,Tayassu pecari,Mammals,Frug,Tropical forest,30,0.08,32.23,3,3,9.2,21.7,4.26,6.532,-0.858,0.102
580,Endo et al 2010,Tayassu pecari,Mammals,Frug,Tropical forest,2.7,0.08,32.23,3,3,1.1,21.7,1.1,6.532,-2.977,0.364
581,Endo et al 2010,Callicebus brunneus,Mammals,Omn,Tropical forest,2.7,0.08,0.99,3,3,7.8,20.2,0.944,2.444,-0.951,0.01
582,Espinosa-Andrade 2012,Mitu salvini,Birds,Frug,Tropical forest,16.5,0.25,3.1,25,26,3.429,6.303,1.852,2.511,-0.606,0.018
583,Espinosa-Andrade 2012,Nothocrax urumutum,Birds,Frug,Tropical forest,16.5,0.25,1.7,25,26,0.3,0.129,0.548,0.36,0.841,0.431
584,Espinosa-Andrade 2012,Penelope jacquacu,Birds,Frug,Tropical forest,16.5,0.25,1.49,25,26,0.651,0.027,0.807,0.164,3.188,1.494
585,Espinosa-Andrade 2012,Psophia crepitans,Birds,Frug,Tropical forest,16.5,0.25,1.03,25,26,13.369,12.874,3.656,3.588,0.039,0.006
586,Espinosa-Andrade 2012,Atelocynus microtis,Mammals,Carn,Tropical forest,16.5,0.25,7.75,25,26,0.314,0.483,0.56,0.695,-0.431,0.207
587,Espinosa-Andrade 2012,Cuniculus paca,Mammals,Omn,Tropical forest,16.5,0.25,8.17,25,26,2.017,1.186,1.42,1.089,0.531,0.052
588,Espinosa-Andrade 2012,Dasyprocta fuliginosa,Mammals,Omn,Tropical forest,16.5,0.25,3.5,25,26,8.509,9.131,2.917,3.022,-0.07,0.009
589,Espinosa-Andrade 2012,Dasypus novemcinctus,Mammals,Inver,Tropical forest,16.5,0.25,4.2,25,26,2.964,1.071,1.722,1.035,1.018,0.049
590,Espinosa-Andrade 2012,Didelphis marsupialis,Mammals,Carn,Tropical forest,16.5,0.25,1.09,25,26,3.972,0.761,1.993,0.873,1.652,0.061
591,Espinosa-Andrade 2012,Eira barbara,Mammals,Carn,Tropical forest,16.5,0.25,3.91,25,26,1.274,0.345,1.129,0.588,1.305,0.143
592,Espinosa-Andrade 2012,Leopardus pardalis,Mammals,Carn,Tropical forest,16.5,0.25,11.9,25,26,3.397,4.792,1.843,2.189,-0.344,0.02
593,Espinosa-Andrade 2012,Leopardus wiedii,Mammals,Carn,Tropical forest,16.5,0.25,3.25,25,26,0.375,0.123,0.613,0.351,1.115,0.419
594,Espinosa-Andrade 2012,Mazama americana,Mammals,Herb,Tropical forest,16.5,0.25,22.8,25,26,6.258,5.148,2.502,2.269,0.195,0.014
595,Espinosa-Andrade 2012,Mazama gouazoubira,Mammals,Omn,Tropical forest,16.5,0.25,16.63,25,26,1.727,0.648,1.314,0.805,0.98,0.082
596,Espinosa-Andrade 2012,Myrmecophaga tridactyla,Mammals,Inver,Tropical forest,16.5,0.25,22.33,25,26,0.494,0.646,0.703,0.804,-0.268,0.141
597,Espinosa-Andrade 2012,Nasua nasua,Mammals,Frug,Tropical forest,16.5,0.25,3.79,25,26,0.538,0.728,0.734,0.853,-0.302,0.127
598,Espinosa-Andrade 2012,Pecari tajacu,Mammals,Herb,Tropical forest,16.5,0.25,21.27,25,26,7.475,9.179,2.734,3.03,-0.205,0.01
599,Espinosa-Andrade 2012,Priodontes maximus,Mammals,Inver,Tropical forest,16.5,0.25,45.36,25,26,0.521,0.474,0.721,0.688,0.094,0.158
600,Espinosa-Andrade 2012,Puma yagouaroundi,Mammals,Carn,Tropical forest,16.5,0.25,6.88,25,26,0.208,0.163,0.456,0.403,0.245,0.429
601,Espinosa-Andrade 2012,Tamandua tetradactyla,Mammals,Inver,Tropical forest,16.5,0.25,5.52,25,26,0.217,0.248,0.466,0.498,-0.132,0.339
602,Espinosa-Andrade 2012,Tapirus terrestris,Mammals,Herb,Tropical forest,16.5,0.25,207.5,25,26,2.545,1.497,1.595,1.223,0.531,0.041
603,Espinosa-Andrade 2012,Tayassu pecari,Mammals,Frug,Tropical forest,16.5,0.25,32.23,25,26,18.646,6.174,4.318,2.485,1.105,0.008
604,Espinosa-Andrade 2012,Mitu salvini,Birds,Frug,Tropical forest,3.8,1.54,3.1,23,26,1.394,6.303,1.18,2.511,-1.503,0.037
605,Espinosa-Andrade 2012,Nothocrax urumutum,Birds,Frug,Tropical forest,3.8,1.54,1.7,23,26,0.6,0.129,0.775,0.36,1.534,0.37
606,Espinosa-Andrade 2012,Penelope jacquacu,Birds,Frug,Tropical forest,3.8,1.54,1.49,23,26,0.336,0.027,0.579,0.164,2.526,1.562
607,Espinosa-Andrade 2012,Psophia crepitans,Birds,Frug,Tropical forest,3.8,1.54,1.03,23,26,14.689,12.874,3.833,3.588,0.133,0.006
608,Espinosa-Andrade 2012,Atelocynus microtis,Mammals,Carn,Tropical forest,3.8,1.54,7.75,23,26,1.063,0.483,1.031,0.695,0.79,0.121
609,Espinosa-Andrade 2012,Cuniculus paca,Mammals,Omn,Tropical forest,3.8,1.54,8.17,23,26,1.165,1.186,1.079,1.089,-0.017,0.07
610,Espinosa-Andrade 2012,Dasyprocta fuliginosa,Mammals,Omn,Tropical forest,3.8,1.54,3.5,23,26,7.02,9.131,2.65,3.022,-0.263,0.01
611,Espinosa-Andrade 2012,Dasypus novemcinctus,Mammals,Inver,Tropical forest,3.8,1.54,4.2,23,26,0.881,1.071,0.939,1.035,-0.195,0.085
612,Espinosa-Andrade 2012,Didelphis marsupialis,Mammals,Carn,Tropical forest,3.8,1.54,1.09,23,26,1.266,0.761,1.125,0.873,0.509,0.085
613,Espinosa-Andrade 2012,Eira barbara,Mammals,Carn,Tropical forest,3.8,1.54,3.91,23,26,0.645,0.345,0.803,0.588,0.624,0.179
614,Espinosa-Andrade 2012,Leopardus pardalis,Mammals,Carn,Tropical forest,3.8,1.54,11.9,23,26,6.275,4.792,2.505,2.189,0.27,0.015
615,Espinosa-Andrade 2012,Leopardus wiedii,Mammals,Carn,Tropical forest,3.8,1.54,3.25,23,26,0.188,0.123,0.433,0.351,0.422,0.544
616,Espinosa-Andrade 2012,Mazama americana,Mammals,Herb,Tropical forest,3.8,1.54,22.8,23,26,2.638,5.148,1.624,2.269,-0.668,0.024
617,Espinosa-Andrade 2012,Nasua nasua,Mammals,Frug,Tropical forest,3.8,1.54,3.79,23,26,0.28,0.728,0.529,0.853,-0.956,0.208
618,Espinosa-Andrade 2012,Pecari tajacu,Mammals,Herb,Tropical forest,3.8,1.54,21.27,23,26,3.137,9.179,1.771,3.03,-1.073,0.018
619,Espinosa-Andrade 2012,Priodontes maximus,Mammals,Inver,Tropical forest,3.8,1.54,45.36,23,26,0.588,0.474,0.767,0.688,0.217,0.155
620,Espinosa-Andrade 2012,Puma yagouaroundi,Mammals,Carn,Tropical forest,3.8,1.54,6.88,23,26,0.188,0.163,0.433,0.403,0.142,0.468
621,Espinosa-Andrade 2012,Tamandua tetradactyla,Mammals,Inver,Tropical forest,3.8,1.54,5.52,23,26,0.123,0.248,0.351,0.498,-0.7,0.508
622,Espinosa-Andrade 2012,Tapirus terrestris,Mammals,Herb,Tropical forest,3.8,1.54,207.5,23,26,0.288,1.497,0.536,1.223,-1.648,0.177
623,Espinosa-Andrade 2012,Mitu salvini,Birds,Frug,Tropical forest,3.9,3.81,3.1,26,26,0.619,6.303,0.787,2.511,-2.307,0.068
624,Espinosa-Andrade 2012,Nothocrax urumutum,Birds,Frug,Tropical forest,3.9,3.81,1.7,26,26,0.129,0.129,0.36,0.36,0.001,0.594
625,Espinosa-Andrade 2012,Penelope jacquacu,Birds,Frug,Tropical forest,3.9,3.81,1.49,26,26,0.342,0.027,0.585,0.164,2.546,1.545
626,Espinosa-Andrade 2012,Psophia crepitans,Birds,Frug,Tropical forest,3.9,3.81,1.03,26,26,15.456,12.874,3.931,3.588,0.184,0.005
627,Espinosa-Andrade 2012,Atelocynus microtis,Mammals,Carn,Tropical forest,3.9,3.81,7.75,26,26,0.387,0.483,0.622,0.695,-0.22,0.179
628,Espinosa-Andrade 2012,Cuniculus paca,Mammals,Omn,Tropical forest,3.9,3.81,8.17,26,26,1.379,1.186,1.174,1.089,0.151,0.06
629,Espinosa-Andrade 2012,Dasyprocta fuliginosa,Mammals,Omn,Tropical forest,3.9,3.81,3.5,26,26,6.469,9.131,2.543,3.022,-0.344,0.01
630,Espinosa-Andrade 2012,Dasypus novemcinctus,Mammals,Inver,Tropical forest,3.9,3.81,4.2,26,26,2.514,1.071,1.586,1.035,0.853,0.051
631,Espinosa-Andrade 2012,Didelphis marsupialis,Mammals,Carn,Tropical forest,3.9,3.81,1.09,26,26,1.202,0.761,1.096,0.873,0.457,0.083
632,Espinosa-Andrade 2012,Eira barbara,Mammals,Carn,Tropical forest,3.9,3.81,3.91,26,26,0.381,0.345,0.617,0.588,0.099,0.212
633,Espinosa-Andrade 2012,Leopardus pardalis,Mammals,Carn,Tropical forest,3.9,3.81,11.9,26,26,4.143,4.792,2.035,2.189,-0.145,0.017
634,Espinosa-Andrade 2012,Leopardus wiedii,Mammals,Carn,Tropical forest,3.9,3.81,3.25,26,26,0.12,0.123,0.346,0.351,-0.025,0.633
635,Espinosa-Andrade 2012,Mazama americana,Mammals,Herb,Tropical forest,3.9,3.81,22.8,26,26,1.479,5.148,1.216,2.269,-1.246,0.033
636,Espinosa-Andrade 2012,Mazama gouazoubira,Mammals,Omn,Tropical forest,3.9,3.81,16.63,26,26,0.601,0.648,0.775,0.805,-0.076,0.123
637,Espinosa-Andrade 2012,Myrmecophaga tridactyla,Mammals,Inver,Tropical forest,3.9,3.81,22.33,26,26,0.95,0.646,0.975,0.804,0.386,0.1
638,Espinosa-Andrade 2012,Nasua nasua,Mammals,Frug,Tropical forest,3.9,3.81,3.79,26,26,0.438,0.728,0.662,0.853,-0.508,0.141
639,Espinosa-Andrade 2012,Pecari tajacu,Mammals,Herb,Tropical forest,3.9,3.81,21.27,26,26,4.128,9.179,2.032,3.03,-0.799,0.014
640,Espinosa-Andrade 2012,Priodontes maximus,Mammals,Inver,Tropical forest,3.9,3.81,45.36,26,26,0.465,0.474,0.682,0.688,-0.019,0.164
641,Espinosa-Andrade 2012,Puma yagouaroundi,Mammals,Carn,Tropical forest,3.9,3.81,6.88,26,26,0.08,0.163,0.283,0.403,-0.711,0.717
642,Espinosa-Andrade 2012,Speothos venaticus,Mammals,Carn,Tropical forest,3.9,3.81,6,26,26,0.042,0.085,0.204,0.292,-0.712,1.376
643,Espinosa-Andrade 2012,Tamandua tetradactyla,Mammals,Inver,Tropical forest,3.9,3.81,5.52,26,26,0.277,0.248,0.526,0.498,0.111,0.294
644,Espinosa-Andrade 2012,Tapirus terrestris,Mammals,Herb,Tropical forest,3.9,3.81,207.5,26,26,0.897,1.497,0.947,1.223,-0.511,0.069
645,Espinosa-Andrade 2012,Tayassu pecari,Mammals,Frug,Tropical forest,3.9,3.81,32.23,26,26,0.404,6.174,0.635,2.485,-2.724,0.102
646,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,5,1.23,23.71,200,200,0.132,0.422,0.364,0.65,-1.158,0.05
647,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,10,1.23,23.71,200,200,0.121,0.422,0.348,0.65,-1.247,0.053
648,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,15,1.23,23.71,200,200,0.29,0.422,0.538,0.65,-0.376,0.029
649,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,20,1.23,23.71,200,200,0.221,0.422,0.471,0.65,-0.645,0.034
650,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,15,1.23,23.71,200,200,0.079,0.273,0.282,0.522,-1.231,0.081
651,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,20,1.23,23.71,200,200,0.259,0.273,0.509,0.522,-0.05,0.038
652,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,5,1.23,23.71,148,148,0.115,0.445,0.34,0.667,-1.348,0.074
653,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,10,1.23,23.71,148,148,0.142,0.445,0.377,0.667,-1.141,0.063
654,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,15,1.23,23.71,148,148,0.422,0.445,0.65,0.667,-0.052,0.031
655,"Eves, 2006","Cephalophus callipygus, C. dorsalis, C. leucogaster, C. monticola, C. nigrifrons and C. sylvicultor",Mammals,Herb,Tropical forest,20,1.23,23.71,148,148,0.539,0.445,0.734,0.667,0.193,0.028
656,"Fay and Agnagna, 1991",Loxodonta africana,Mammals,Herb,Tropical forest,36.1,0.37,3940.03,11,11,523,620,173,461,-0.17,0.06
657,"Fay and Agnagna, 1991",Loxodonta africana,Mammals,Herb,Tropical forest,5.6,0.85,3940.03,7,11,122,620,172,461,-1.624,0.334
658,"Fay and Agnagna, 1991",Loxodonta africana,Mammals,Herb,Tropical forest,23.9,1.23,3940.03,15,11,319,620,144,461,-0.664,0.064
659,"Fay, 1991",Loxodonta africana,Mammals,Herb,Tropical forest,25,0.49,3940.03,1,6,2.1,0.912,1.449,0.601,0.834,0.548
660,"Fay, 1991",Loxodonta africana,Mammals,Herb,Tropical forest,18.5,1.2,3940.03,4,6,0.515,0.912,0.45,0.601,-0.571,0.263
661,"Fimbel et al, 2000","Cephalophus callipygus, C. dorsalis, C. leucogaster and C. nigrifrons",Mammals,Herb,Tropical forest,5,2.97,16.74,15,15,2.45,15.12,3.695,36.695,-1.818,0.544
662,"Fimbel et al, 2000","Cephalophus callipygus, C. dorsalis, C. leucogaster and C. nigrifrons",Mammals,Herb,Tropical forest,15,2.97,16.74,15,15,5.5,15.12,43.374,36.695,-1.011,4.539
663,"Fimbel et al, 2000","Cephalophus callipygus, C. dorsalis, C. leucogaster and C. nigrifrons",Mammals,Herb,Tropical forest,25,2.97,16.74,15,15,6.31,15.12,14.109,36.695,-0.873,0.726
664,"Fimbel et al, 2000",Philantomba monticola,Mammals,Frug,Tropical forest,5,2.97,4.9,15,15,3.61,3.82,3.863,34.215,-0.056,5.425
665,"Fimbel et al, 2000",Philantomba monticola,Mammals,Frug,Tropical forest,15,2.97,4.9,15,15,2.26,3.82,4.239,34.215,-0.524,5.583
666,"Fimbel et al, 2000",Philantomba monticola,Mammals,Frug,Tropical forest,25,2.97,4.9,15,15,1.41,3.82,2.529,34.215,-0.996,5.563
667,"Fragoso, 1991",Tapirus bairdii,Mammals,Herb,Tropical forest,2,3.77,300,14,14,2,8,1.414,2.828,-1.385,0.045
668,"Glanz, 1991",Alouatta spp,Mammals,Herb,Tropical forest,4.2,2.068,6.5,6,43,0.07,0.56,0.265,0.748,-2.077,2.422
669,"Glanz, 1991",Cebus spp,Mammals,Omn,Tropical forest,4.2,2.068,2.69,6,43,0.07,0.1,0.265,0.316,-0.356,2.614
670,"Glanz, 1991",Dasyprocta spp,Mammals,Omn,Tropical forest,4.2,2.068,2.5,6,43,0.14,3.26,0.374,1.806,-3.142,1.198
671,"Glanz, 1991",Nasua narica,Mammals,Frug,Tropical forest,4.2,2.068,4.03,6,43,0.07,0.22,0.265,0.469,-1.144,2.487
672,"Glanz, 1991",Sciurus spp,Mammals,Frug,Tropical forest,4.2,2.068,0.6,6,43,0.07,2.51,0.265,1.584,-3.57,2.39
673,"Glanz, 1991",Tamandua mexicana,Mammals,Inver,Tropical forest,4.2,2.068,4.21,6,43,0.07,0.08,0.265,0.283,-0.133,2.672
674,"Gray and Phan, 2011",Bos gaurus,Mammals,Herb,Tropical forest,8.75,0.46,825,19,18,0.2,0.484,0.533,1.229,-0.884,0.731
675,"Gray and Phan, 2011",Bos javanicus,Mammals,Herb,Tropical forest,8.75,0.46,625,19,18,2.38,2.419,4.003,3.125,-0.016,0.242
676,"Gray and Phan, 2011",Cuon alpinus,Mammals,Carn,Tropical forest,8.75,0.46,14.17,19,18,0.716,0.358,1.117,1.215,0.691,0.767
677,"Gray and Phan, 2011",Elephas maximus,Mammals,Herb,Tropical forest,8.75,0.46,2915.04,19,18,2.214,4.544,2.85,6.084,-0.719,0.187
678,"Gray and Phan, 2011",Hystrix brachyura,Mammals,Herb,Tropical forest,8.75,0.46,8.45,19,18,1.173,1.181,2.207,1.906,-0.006,0.331
679,"Gray and Phan, 2011",Macaca nemestrina,Mammals,Frug,Tropical forest,8.75,0.46,6.3,19,18,0.055,0.75,0.242,1.566,-2.601,1.243
680,"Gray and Phan, 2011",Muntiacus muntjak,Mammals,Herb,Tropical forest,8.75,0.46,15.93,19,18,5.038,8.985,7.702,7.656,-0.578,0.163
681,"Gray and Phan, 2011",Panthera pardus,Mammals,Carn,Tropical forest,8.75,0.46,52.04,19,18,1.133,0.583,2.276,1.235,0.665,0.462
682,"Gray and Phan, 2011",Paradoxurus hermaphroditus,Mammals,Omn,Tropical forest,8.75,0.46,3.16,19,18,0.871,0.563,1.502,0.8,0.437,0.269
683,"Gray and Phan, 2011",Prionailurus bengalensis,Mammals,Carn,Tropical forest,8.75,0.46,3.3,19,18,0.47,0.837,0.78,1.423,-0.576,0.306
684,"Gray and Phan, 2011",Sus scrofa,Mammals,Herb,Tropical forest,8.75,0.46,96.12,19,18,4.699,6.206,7.187,8.517,-0.278,0.228
685,"Gray and Phan, 2011",Viverra zibetha,Mammals,Carn,Tropical forest,8.75,0.46,9.5,19,18,1.432,1.284,2.129,2.202,0.109,0.28
686,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,12.5,5.35,149.33,5,5,0.24,0.39,0.49,0.625,-0.485,1.346
687,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,22.5,5.35,149.33,6,5,0.31,0.39,0.557,0.625,-0.229,1.051
688,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,5,5.35,149.33,6,5,0.19,0.39,0.436,0.625,-0.719,1.39
689,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,10,9.39,149.33,5,5,0.22,0.39,0.469,0.625,-0.572,1.422
690,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,20.5,9.39,149.33,6,5,0.85,0.39,0.922,0.625,0.779,0.709
691,"Hall et al., 1998",Gorilla beringei,Mammals,Herb,Tropical forest,10,10.91,149.33,5,5,0.45,0.39,0.671,0.625,0.143,0.957
692,"Hart, 2000","Cephalophus dorsalis, C. leucogaster, C. nigrifrons, C. weynsi, Hyemoschus aquaticus",Mammals,Herb,Tropical forest,5,3.54,18.33,284,117,8.12,20.83,27.469,20.66,-0.941,0.049
693,"Hart, 2000","Cephalophus dorsalis, C. leucogaster, C. nigrifrons, C. weynsi, Hyemoschus aquaticus",Mammals,Herb,Tropical forest,15,3.54,18.33,364,117,8.705,18.235,40.39,21.371,-0.739,0.071
694,"Hart, 2000",Cephalophus silvicultor,Mammals,Herb,Tropical forest,5,3.54,72.5,284,117,0.7,1.05,4.297,5.517,-0.405,0.369
695,"Hart, 2000",Cephalophus silvicultor,Mammals,Herb,Tropical forest,15,3.54,72.5,364,117,0.7,1.05,3.892,5.517,-0.405,0.321
696,"Hart, 2000",Philantomba monticola,Mammals,Frug,Tropical forest,5,3.54,4.9,284,117,14.68,18.936,30.671,18.15,-0.254,0.023
697,"Hart, 2000",Philantomba monticola,Mammals,Frug,Tropical forest,15,3.54,4.9,364,117,17.73,17.79,44.072,21.201,-0.003,0.029
698,"Hayward, 2009",Atilax paludinosus,Mammals,Carn,Subtropical forest,1.25,0,3.3,4,9,0.071,0.02,0.143,0.044,1.268,1.522
699,"Hayward, 2009",Chlorocebus aethiops,Mammals,Omn,Subtropical forest,0.75,0,4.16,10,9,0.091,0.016,0.197,0.049,1.722,1.47
700,"Hayward, 2009",Cryptomys hottentotus and Amblysomus hottentotus,Mammals,Omn,Subtropical forest,0.25,0,0.07,4,9,0.371,0.236,0.652,0.654,0.452,1.628
701,"Hayward, 2009",Cryptomys hottentotus and Amblysomus hottentotus,Mammals,Omn,Subtropical forest,0.75,0,0.07,10,9,1.102,0.236,0.909,0.654,1.542,0.923
702,"Hayward, 2009",Cryptomys hottentotus and Amblysomus hottentotus,Mammals,Omn,Subtropical forest,1.25,0,0.07,4,9,2.597,0.236,2.054,0.654,2.399,1.011
703,"Hayward, 2009",Cryptomys hottentotus and Amblysomus hottentotus,Mammals,Omn,Subtropical forest,1.75,0,0.07,10,9,0.6,0.236,0.428,0.654,0.935,0.906
704,"Hayward, 2009",Equus quagga,Mammals,Herb,Subtropical forest,0.25,0,400,4,9,0.007,0.769,0.015,1.151,-4.631,1.249
705,"Hayward, 2009",Equus quagga,Mammals,Herb,Subtropical forest,0.75,0,400,10,9,0.915,0.769,2.055,1.151,0.174,0.753
706,"Hayward, 2009",Equus quagga,Mammals,Herb,Subtropical forest,1.25,0,400,4,9,0.517,0.769,0.482,1.151,-0.398,0.466
707,"Hayward, 2009",Equus quagga,Mammals,Herb,Subtropical forest,1.75,0,400,10,9,0.568,0.769,0.72,1.151,-0.303,0.409
708,"Hayward, 2009",Genetta tigrina,Mammals,Carn,Subtropical forest,0.25,0,2.23,4,9,0.027,0.014,0.054,0.042,0.66,2
709,"Hayward, 2009",Genetta tigrina,Mammals,Carn,Subtropical forest,1.75,0,2.23,10,9,0.029,0.014,0.061,0.042,0.725,1.449
710,"Hayward, 2009",Philantomba monticola,Mammals,Frug,Subtropical forest,0.25,0,4.9,4,9,0.09,0.648,0.156,0.677,-1.968,0.865
711,"Hayward, 2009",Philantomba monticola,Mammals,Frug,Subtropical forest,0.75,0,4.9,10,9,0.316,0.648,0.344,0.677,-0.718,0.24
712,"Hayward, 2009",Philantomba monticola,Mammals,Frug,Subtropical forest,1.25,0,4.9,4,9,0.701,0.648,0.427,0.677,0.079,0.214
713,"Hayward, 2009",Philantomba monticola,Mammals,Frug,Subtropical forest,1.75,0,4.9,10,9,0.615,0.648,0.31,0.677,-0.053,0.147
714,"Hayward, 2009",Potamochoerus larvatus,Mammals,Omn,Subtropical forest,0.25,0,48.78,4,9,0.052,0.613,0.06,0.772,-2.462,0.511
715,"Hayward, 2009",Potamochoerus larvatus,Mammals,Omn,Subtropical forest,0.75,0,48.78,10,9,0.468,0.613,0.413,0.772,-0.268,0.254
716,"Hayward, 2009",Potamochoerus larvatus,Mammals,Omn,Subtropical forest,1.25,0,48.78,4,9,0.395,0.613,0.614,0.772,-0.439,0.781
717,"Hayward, 2009",Potamochoerus larvatus,Mammals,Omn,Subtropical forest,1.75,0,48.78,10,9,0.836,0.613,0.657,0.772,0.311,0.238
718,"Hayward, 2009",Sylvicapra grimmia,Mammals,Herb,Subtropical forest,0.25,0,19.5,4,9,0.027,0.237,0.054,0.38,-2.173,1.286
719,"Hayward, 2009",Sylvicapra grimmia,Mammals,Herb,Subtropical forest,0.75,0,19.5,10,9,0.084,0.237,0.178,0.38,-1.042,0.743
720,"Hayward, 2009",Sylvicapra grimmia,Mammals,Herb,Subtropical forest,1.25,0,19.5,4,9,0.778,0.237,0.377,0.38,1.189,0.345
721,"Hayward, 2009",Sylvicapra grimmia,Mammals,Herb,Subtropical forest,1.75,0,19.5,10,9,0.187,0.237,0.201,0.38,-0.237,0.402
722,"Hayward, 2009",Tragelaphus scriptus,Mammals,Herb,Subtropical forest,0.25,0,43.25,4,9,0.9,0.973,1.38,0.69,-0.078,0.644
723,"Hayward, 2009",Tragelaphus scriptus,Mammals,Herb,Subtropical forest,0.75,0,43.25,10,9,1.535,0.973,2.833,0.69,0.456,0.396
724,"Hayward, 2009",Tragelaphus scriptus,Mammals,Herb,Subtropical forest,1.25,0,43.25,4,9,1.222,0.973,0.736,0.69,0.228,0.147
725,"Hayward, 2009",Tragelaphus scriptus,Mammals,Herb,Subtropical forest,1.75,0,43.25,10,9,0.936,0.973,1,0.69,-0.038,0.17
726,"Hayward, 2009",Ceratotherium simum,Mammals,Herb,Subtropical forest,0.75,7.71,2949.99,12,4,0.003,0.263,0.012,0.378,-4.358,1.529
727,"Hayward, 2009",Ceratotherium simum,Mammals,Herb,Subtropical forest,1.75,7.71,2949.99,4,4,0.117,0.263,0.173,0.378,-0.811,1.065
