Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Cronin, 2013",65,Mammals,Pennant's Red Colobus,152,Procolobus pennantii,Primates,10.9,Herb,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,21,12,0.72,0.15,0.849,0.387,primate groups/km,0.1,1.569,0.622,Tropical forest,7.84,314
"Cronin, 2013",65,Mammals,Pennant's Red Colobus,152,Procolobus pennantii,Primates,10.9,Herb,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,20,12,0.42,0.15,0.849,0.387,primate groups/km,2,1.03,0.76,Tropical forest,7.84,314
"Schmid and Rasoloarison, 2002",76,Mammals,Milne-Edwards's Sportive Lemur,224,Lepilemur edwardsi,Primates,0.7,Herb,S,Africa,Madagascar,46.79,-16.34,Yes,Road,3,2,0.967,2.4,0.851,2.722,n/km,3.51,-0.909,0.901,Xerophytic forest,16.6,261
"Paciulli, 2004",102,Mammals,Mentawai Langur,282,Presbytis potenziani,Primates,6.45,Frug,S,Asia,Indonesia,100.033,-2.635,No,Settlement,9,9,0.73,0.69,0.854,0.831,n/km2,4,0.057,0.313,Tropical forest,4.75,663
"Kosydar et al., 2014",72,Mammals,Yellow armadillo,205,Euphractus sexcinctus,Cingulata,4.78,Omn,SC,S America,Bolivia,-61.95,-17.117,No,Road,5,5,0.74,1.03,0.86,1.015,n traps/100 trap nights,1.5,-0.33,0.464,Tropical forest,1.68,561
"Peres and Lake, 2003",9,Mammals,Squirrel monkeys,171,Saimiri spp,Primates,0.68,Omn,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.739,0.211,0.86,0.459,n groups/10 km,3.75,1.254,0.135,Tropical forest,0.24,2389
Urquiza-Haas et al. 2011,134,Mammals,White-nosed Coati,110,Nasua narica,Carnivores,4.03,Frug,S,C America,Mexico,-89.716,18.935,No,Settlement,32,31,0.74,0.35,0.86,0.592,groups/10 km,3.5,0.749,0.134,Tropical forest,7.72,1565
"Hayward, 2009",41,Mammals,Bushpig,147,Potamochoerus larvatus,Cetartiodactyla,48.78,Omn,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,8,4,0.713,0.334,0.863,0.62,n/100m,0.25,0.759,1.044,Subtropical forest,7.71,315
"Peres and Lake, 2003",9,Mammals,White-fronted Capuchin,30,Cebus albifrons,Primates,2.63,Omn,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.745,0.738,0.863,0.859,n groups/10 km,4.25,0.01,0.06,Tropical forest,0.24,2389
"De Andrade Melo et al., 2015",74,Mammals,Northern night monkey,213,Aotus trivirgatus,Primates,0.9,Omn,S,S America,Brazil,-60.356,1.29,No,Settlement,31,28,0.75,0.61,0.866,0.781,n/10 km,2.7,0.207,0.102,Camparina Forest,0.31,580
"Wilkie et al., 1990",24,Mammals,African civet,54,Civettictis civetta,Carnivores,12,Carn,S,Africa,D.R. Congo,28.824,2.174,No,Road & Settlement,61,62,0.75,0.13,0.866,0.361,tracks/station,1.5,1.753,0.146,Tropical forest,3.54,214
"Blake et al., 2007",29,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,C,Africa,Cameroon,14.97,2.68,Yes,Road,7,2,0.686,6.328,0.868,2.837,n/km2,22.5,-2.22,0.33,Tropical forest,2.97,1948
"Peres and Lake, 2003",9,Mammals,Southern Amazon Red Squirrel,175,Sciurus spadiceus,Rodentia,0.4,Frug,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.754,0.349,0.868,0.591,n groups/10 km,3.25,0.77,0.093,Tropical forest,0.24,2389
"Paciulli, 2004",103,Mammals,Kloss¡¯s Gibbon,277,Hylobates klossii,Primates,5.8,Frug,S,Asia,Indonesia,100.326,-3.029,No,Settlement,9,9,0.76,1.26,0.872,1.122,n/km2,0.2,-0.505,0.234,Tropical forest,13.37,814
"Blake et al., 2007",29,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,C,Africa,Cameroon,14.97,2.68,Yes,Road,2,2,1.309,6.328,0.873,2.837,n/km2,42.5,-1.574,0.323,Tropical forest,2.97,1948
